Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2019-12,Esercizi alberghieri,266280,64964
Arrivi,2019-12,Esercizi extralberghieri,62594,13306
Presenze,2019-01,Esercizi alberghieri,856855,609512
Presenze,2019-01,Esercizi extralberghieri,166168,118708
Presenze,2019-02,Esercizi alberghieri,757841,781245
Presenze,2019-02,Esercizi extralberghieri,121128,154320
Presenze,2019-03,Esercizi alberghieri,682086,623691
Presenze,2019-03,Esercizi extralberghieri,133336,123946
Presenze,2019-04,Esercizi alberghieri,177915,272358
Presenze,2019-04,Esercizi extralberghieri,104351,140274
Presenze,2019-05,Esercizi alberghieri,115285,289388
Presenze,2019-05,Esercizi extralberghieri,78610,140299
Presenze,2019-06,Esercizi alberghieri,448995,454970
Presenze,2019-06,Esercizi extralberghieri,199222,354875
Presenze,2019-07,Esercizi alberghieri,1492007,535533
Presenze,2019-07,Esercizi extralberghieri,542992,558563
Presenze,2019-08,Esercizi alberghieri,1960427,447915
Presenze,2019-08,Esercizi extralberghieri,802097,535300
Presenze,2019-09,Esercizi alberghieri,499764,476124
Presenze,2019-09,Esercizi extralberghieri,170552,261670
Presenze,2019-10,Esercizi alberghieri,149827,270305
Presenze,2019-10,Esercizi extralberghieri,81959,124442
Presenze,2019-11,Esercizi alberghieri,127336,52889
Presenze,2019-11,Esercizi extralberghieri,72541,15671
Presenze,2019-12,Esercizi alberghieri,789430,283154
Presenze,2019-12,Esercizi extralberghieri,212276,62899
Arrivi,2020-01,Esercizi alberghieri,264886,113956
Arrivi,2020-01,Esercizi extralberghieri,42790,21277
Arrivi,2020-02,Esercizi alberghieri,223491,157415
Arrivi,2020-02,Esercizi extralberghieri,38080,28766
Arrivi,2020-03,Esercizi alberghieri,51451,7952
Arrivi,2020-03,Esercizi extralberghieri,6765,1284
Arrivi,2020-04,Esercizi alberghieri,704,68
Arrivi,2020-04,Esercizi extralberghieri,129,23
Arrivi,2020-05,Esercizi alberghieri,4586,287
Arrivi,2020-05,Esercizi extralberghieri,5862,179
Arrivi,2020-06,Esercizi alberghieri,59392,15584
Arrivi,2020-06,Esercizi extralberghieri,32588,14409
Arrivi,2020-07,Esercizi alberghieri,258881,61818
Arrivi,2020-07,Esercizi extralberghieri,98139,49458
Arrivi,2020-08,Esercizi alberghieri,417253,72197
Arrivi,2020-08,Esercizi extralberghieri,152636,62612
Arrivi,2020-09,Esercizi alberghieri,154050,78348
Arrivi,2020-09,Esercizi extralberghieri,48743,56933
Arrivi,2020-10,Esercizi alberghieri,55608,27779
Arrivi,2020-10,Esercizi extralberghieri,16778,14249
Arrivi,2020-11,Esercizi alberghieri,13190,1899
Arrivi,2020-11,Esercizi extralberghieri,3724,756
Arrivi,2020-12,Esercizi alberghieri,17944,2131
Arrivi,2020-12,Esercizi extralberghieri,4603,408
Presenze,2020-01,Esercizi alberghieri,975309,648949
Presenze,2020-01,Esercizi extralberghieri,186352,128143
Presenze,2020-02,Esercizi alberghieri,823114,902594
Presenze,2020-02,Esercizi extralberghieri,143309,167130
Presenze,2020-03,Esercizi alberghieri,205065,64625
Presenze,2020-03,Esercizi extralberghieri,41914,13748
Presenze,2020-04,Esercizi alberghieri,4429,714
Presenze,2020-04,Esercizi extralberghieri,11697,2462
Presenze,2020-05,Esercizi alberghieri,13615,1011
Presenze,2020-05,Esercizi extralberghieri,26959,3377
Presenze,2020-06,Esercizi alberghieri,142016,42905
Presenze,2020-06,Esercizi extralberghieri,109398,56377
Presenze,2020-07,Esercizi alberghieri,1085152,200029
Presenze,2020-07,Esercizi extralberghieri,441558,233343
Presenze,2020-08,Esercizi alberghieri,1925828,242367
Presenze,2020-08,Esercizi extralberghieri,784765,311605
Presenze,2020-09,Esercizi alberghieri,513875,270165
Presenze,2020-09,Esercizi extralberghieri,194999,244127
Presenze,2020-10,Esercizi alberghieri,122140,103151
Presenze,2020-10,Esercizi extralberghieri,66283,64527
Presenze,2020-11,Esercizi alberghieri,37187,7791
Presenze,2020-11,Esercizi extralberghieri,38482,7255
Presenze,2020-12,Esercizi alberghieri,43785,6940
Presenze,2020-12,Esercizi extralberghieri,36706,3866
Arrivi,2021-01,Esercizi alberghieri,12986,2768
Arrivi,2021-01,Esercizi extralberghieri,2895,382
Arrivi,2021-02,Esercizi alberghieri,17383,2179
Arrivi,2021-02,Esercizi extralberghieri,3900,346
Arrivi,2021-03,Esercizi alberghieri,11972,1961
Arrivi,2021-03,Esercizi extralberghieri,2280,261
Arrivi,2021-04,Esercizi alberghieri,12627,1670
Arrivi,2021-04,Esercizi extralberghieri,3467,370
Arrivi,2021-05,Esercizi alberghieri,55062,18329
Arrivi,2021-05,Esercizi extralberghieri,20990,19103
Arrivi,2021-06,Esercizi alberghieri,148529,57334
Arrivi,2021-06,Esercizi extralberghieri,57620,41296
